#x y exx eyy exy
0.000000e+00 3.300000e+03 5.268774e+00 5.397892e+00 7.952141e+00
0.000000e+00 3.400000e+03 5.267709e+00 5.398958e+00 7.951125e+00
0.000000e+00 3.500000e+03 5.266611e+00 5.400055e+00 7.950074e+00
0.000000e+00 3.600000e+03 5.265481e+00 5.401186e+00 7.948988e+00
0.000000e+00 3.700000e+03 5.264316e+00 5.402351e+00 7.947864e+00
0.000000e+00 3.800000e+03 5.263114e+00 5.403552e+00 7.946700e+00
0.000000e+00 3.900000e+03 5.261876e+00 5.404791e+00 7.945494e+00
0.000000e+00 4.000000e+03 5.260598e+00 5.406069e+00 7.944245e+00
0.000000e+00 4.100000e+03 5.259280e+00 5.407387e+00 7.942948e+00
0.000000e+00 4.200000e+03 5.257919e+00 5.408748e+00 7.941603e+00
0.000000e+00 4.300000e+03 5.256514e+00 5.410153e+00 7.940206e+00
0.000000e+00 4.400000e+03 5.255063e+00 5.411604e+00 7.938754e+00
0.000000e+00 4.500000e+03 5.253563e+00 5.413103e+00 7.937244e+00
0.000000e+00 4.600000e+03 5.252014e+00 5.414652e+00 7.935673e+00
0.000000e+00 4.700000e+03 5.250413e+00 5.416254e+00 7.934036e+00
0.000000e+00 4.800000e+03 5.248757e+00 5.417910e+00 7.932331e+00
0.000000e+00 4.900000e+03 5.247044e+00 5.419623e+00 7.930551e+00
0.000000e+00 5.000000e+03 5.245272e+00 5.421395e+00 7.928693e+00
0.000000e+00 5.100000e+03 5.243438e+00 5.423229e+00 7.926752e+00
0.000000e+00 5.200000e+03 5.241540e+00 5.425127e+00 7.924722e+00
0.000000e+00 5.300000e+03 5.239575e+00 5.427091e+00 7.922596e+00
0.000000e+00 5.400000e+03 5.237541e+00 5.429126e+00 7.920369e+00
0.000000e+00 5.500000e+03 5.235434e+00 5.431232e+00 7.918034e+00
0.000000e+00 5.600000e+03 5.233253e+00 5.433414e+00 7.915582e+00
0.000000e+00 5.700000e+03 5.230994e+00 5.435673e+00 7.913005e+00
0.000000e+00 5.800000e+03 5.228655e+00 5.438012e+00 7.910293e+00
0.000000e+00 5.900000e+03 5.226232e+00 5.440434e+00 7.907437e+00
0.000000e+00 6.000000e+03 5.223725e+00 5.442942e+00 7.904425e+00
0.000000e+00 6.100000e+03 5.221131e+00 5.445536e+00 7.901245e+00
0.000000e+00 6.200000e+03 5.218448e+00 5.448219e+00 7.897884e+00
